Workload,Timestamp,CPU,Mem,Set
grep_run,1590499853,0.00,0.00,set5
grep_run,1590499854,0.00,0.00,set5
grep_run,1590499855,0.00,0.00,set5
grep_run,1590499856,0.00,0.00,set5
grep_run,1590499857,0.00,0.00,set5
grep_run,1590499858,0.00,0.00,set5
grep_run,1590499859,0.00,0.00,set5
grep_run,1590499860,0.00,0.00,set5
grep_run,1590499861,0.00,0.00,set5
grep_run,1590499862,0.00,0.00,set5
grep_run,1590499863,0.00,0.00,set5
grep_run,1590499864,0.00,0.00,set5
grep_run,1590499865,0.00,0.00,set5
grep_run,1590499866,0.00,0.00,set5
grep_run,1590499867,0.00,0.00,set5
grep_run,1590499868,0.00,0.00,set5
grep_run,1590499869,0.00,0.00,set5
grep_run,1590499870,0.00,0.00,set5
grep_run,1590499871,0.00,0.00,set5
grep_run,1590499872,0.00,0.00,set5
grep_run,1590499873,0.00,0.00,set5
grep_run,1590499874,0.00,0.00,set5
grep_run,1590499875,0.00,0.00,set5
grep_run,1590499876,0.00,0.00,set5
grep_run,1590499877,0.00,0.00,set5
grep_run,1590499878,0.00,0.00,set5
grep_run,1590499879,0.00,0.00,set5
grep_run,1590499880,0.00,0.00,set5
grep_run,1590499881,0.00,0.00,set5
grep_run,1590499882,0.00,0.00,set5
grep_run,1590499883,0.00,0.00,set5
grep_run,1590499884,0.00,0.00,set5
grep_run,1590499885,0.00,0.00,set5
grep_run,1590499886,0.00,0.00,set5
grep_run,1590499887,0.00,0.00,set5
grep_run,1590499888,0.00,0.00,set5
grep_run,1590499889,0.00,0.00,set5
grep_run,1590499890,0.00,0.00,set5
grep_run,1590499891,0.00,0.00,set5
grep_run,1590499892,0.00,0.00,set5
grep_run,1590499893,0.00,0.00,set5
grep_run,1590499894,0.00,0.00,set5
grep_run,1590499895,0.00,0.00,set5
grep_run,1590499896,0.00,0.00,set5
grep_run,1590499897,0.00,0.00,set5
