Workload,CPU,Mem,Set
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
grep_run,0.00,0.00,set5
wc_run,277.23,0.33,set5
wc_run,255.00,0.39,set5
wc_run,269.00,0.46,set5
wc_run,1.00,0.46,set5
wc_run,2.00,0.42,set5
wc_run,1.00,0.42,set5
wc_run,1.00,0.42,set5
wc_run,0.00,0.42,set5
wc_run,6.00,0.42,set5
wc_run,3.00,0.42,set5
wc_run,1.00,0.42,set5
wc_run,1.00,0.42,set5
wc_run,1.00,0.42,set5
wc_run,0.00,0.42,set5
wc_run,1.00,0.42,set5
wc_run,1.00,0.42,set5
wc_run,1.00,0.42,set5
wc_run,1.00,0.42,set5
wc_run,0.00,0.42,set5
wc_run,1.00,0.42,set5
wc_run,1.00,0.42,set5
wc_run,1.00,0.42,set5
wc_run,0.00,0.42,set5
wc_run,1.00,0.42,set5
wc_run,2.00,0.42,set5
wc_run,2.00,0.42,set5
wc_run,3.00,0.42,set5
wc_run,0.00,0.42,set5
wc_run,1.00,0.42,set5
wc_run,1.00,0.42,set5
wc_run,2.00,0.42,set5
wc_run,1.00,0.42,set5
wc_run,2.00,0.42,set5
wc_run,1.00,0.42,set5
wc_run,1.00,0.42,set5
wc_run,1.00,0.42,set5
wc_run,1.00,0.42,set5
wc_run,1.00,0.42,set5
wc_run,1.00,0.42,set5
wc_run,0.00,0.42,set5
wc_run,2.00,0.42,set5
wc_run,1.00,0.42,set5
wc_run,0.00,0.42,set5
wc_run,1.00,0.42,set5
wc_run,0.00,0.42,set5
wc_run,1.00,0.42,set5
wc_run,1.00,0.42,set5
wc_run,0.00,0.42,set5
wc_run,1.00,0.42,set5
wc_run,1.00,0.42,set5
wc_run,0.00,0.42,set5
wc_run,1.00,0.42,set5
wc_run,2.00,0.42,set5
wc_run,0.00,0.42,set5
wc_run,2.00,0.42,set5
wc_run,1.00,0.42,set5
wc_run,0.00,0.42,set5
wc_run,0.00,0.42,set5
wc_run,0.00,0.42,set5
wc_run,1.00,0.42,set5
wc_run,2.00,0.42,set5
wc_run,1.00,0.42,set5
wc_run,0.00,0.42,set5
wc_run,1.00,0.42,set5
wc_run,1.00,0.42,set5
wc_run,1.00,0.42,set5
wc_run,1.00,0.42,set5
wc_run,2.00,0.42,set5
wc_run,2.00,0.42,set5
wc_run,1.00,0.42,set5
wc_run,4.00,0.42,set5
wc_run,0.00,0.42,set5
wc_run,1.00,0.42,set5
wc_run,2.00,0.42,set5
wc_run,2.00,0.42,set5
wc_run,1.00,0.42,set5
wc_run,2.00,0.42,set5
wc_run,1.00,0.42,set5
wc_run,0.00,0.42,set5
wc_run,1.00,0.42,set5
wc_run,1.00,0.42,set5
wc_run,0.00,0.42,set5
wc_run,0.00,0.42,set5
wc_run,1.00,0.42,set5
wc_run,1.00,0.42,set5
wc_run,0.00,0.42,set5
wc_run,0.00,0.42,set5
wc_run,3.00,0.42,set5
wc_run,0.00,0.42,set5
wc_run,3.00,0.42,set5
wc_run,1.00,0.42,set5
wc_run,1.00,0.42,set5
wc_run,1.00,0.42,set5
wc_run,0.00,0.42,set5
wc_run,1.00,0.42,set5
wc_run,1.00,0.42,set5
wc_run,1.00,0.42,set5
wc_run,0.00,0.42,set5
wc_run,0.00,0.42,set5
wc_run,0.00,0.42,set5
wc_run,1.00,0.42,set5
wc_run,0.00,0.42,set5
wc_run,1.00,0.42,set5
wc_run,1.00,0.42,set5
wc_run,1.00,0.42,set5
wc_run,0.00,0.42,set5
wc_run,1.00,0.42,set5
wc_run,2.00,0.42,set5
wc_run,0.00,0.42,set5
wc_run,1.00,0.42,set5
wc_run,1.00,0.42,set5
wc_run,1.00,0.42,set5
wc_run,2.00,0.42,set5
wc_run,0.00,0.42,set5
wc_run,1.00,0.42,set5
wc_run,0.00,0.42,set5
wc_run,2.00,0.42,set5
wc_run,1.00,0.42,set5
wc_run,3.00,0.42,set5
wc_run,2.00,0.42,set5
wc_run,1.00,0.42,set5
wc_run,1.00,0.42,set5
wc_run,1.00,0.42,set5
wc_run,0.00,0.42,set5
wc_run,1.00,0.42,set5
wc_run,1.00,0.42,set5
wc_run,2.00,0.42,set5
wc_run,1.00,0.42,set5
wc_run,1.00,0.42,set5
wc_run,3.00,0.42,set5
wc_run,0.00,0.42,set5
wc_run,1.00,0.42,set5
wc_run,1.00,0.42,set5
wc_run,1.00,0.42,set5
wc_run,0.00,0.42,set5
wc_run,1.01,0.42,set5
wc_run,2.97,0.42,set5
wc_run,1.00,0.42,set5
wc_run,0.00,0.42,set5
wc_run,1.00,0.42,set5
wc_run,0.00,0.42,set5
wc_run,0.00,0.42,set5
wc_run,1.00,0.42,set5
wc_run,1.00,0.42,set5
wc_run,0.00,0.42,set5
wc_run,0.00,0.42,set5
wc_run,1.00,0.42,set5
wc_run,0.00,0.42,set5
wc_run,0.00,0.42,set5
wc_run,0.00,0.42,set5
wc_run,0.00,0.42,set5
wc_run,1.00,0.42,set5
wc_run,1.00,0.42,set5
wc_run,0.00,0.42,set5
wc_run,1.00,0.42,set5
wc_run,0.00,0.42,set5
wc_run,0.00,0.42,set5
wc_run,0.00,0.42,set5
wc_run,2.00,0.42,set5
wc_run,0.00,0.42,set5
wc_run,0.00,0.42,set5
wc_run,3.00,0.42,set5
wc_run,0.00,0.42,set5
wc_run,1.00,0.42,set5
wc_run,0.00,0.42,set5
wc_run,0.00,0.42,set5
wc_run,1.00,0.42,set5
wc_run,0.00,0.42,set5
wc_run,1.00,0.42,set5
wc_run,0.00,0.42,set5
wc_run,1.00,0.42,set5
wc_run,0.00,0.42,set5
wc_run,1.00,0.42,set5
wc_run,0.00,0.42,set5
wc_run,0.00,0.42,set5
wc_run,1.00,0.42,set5
wc_run,0.00,0.42,set5
wc_run,1.00,0.42,set5
wc_run,1.00,0.42,set5
wc_run,1.00,0.42,set5
wc_run,0.00,0.42,set5
wc_run,0.00,0.42,set5
wc_run,1.00,0.42,set5
wc_run,0.00,0.42,set5
wc_run,1.00,0.42,set5
wc_run,0.00,0.42,set5
wc_run,0.00,0.42,set5
wc_run,0.00,0.42,set5
